Library, Current Item Policy, Loan Length, Set Name, Result
SMFA,Mobile Device Charger,4 Hours,Mobile Device Charger - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,Mobile Device Charger,4 Hours,Mobile Device Charger - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,PC Accessory,4 Hours,PC Accessory - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,PC Accessory,4 Hours,PC Accessory - SMFA - to 4 Hours and Item Material Type Equipment,204
SMFA,Universal Charger,4 Hours,Universal Charger - SMFA - to 4 Hours and Item Material Type Equipment,200
SMFA,Universal Charger,4 Hours,Universal Charger - SMFA - to 4 Hours and Item Material Type Equipment,204
Tisch,AV Cable,8 Hours,AV Cable - Tisch - to 8 Hours and Item Material Type Equipment,200
Tisch,AV Cable,8 Hours,AV Cable - Tisch - to 8 Hours and Item Material Type Equipment,204
Tisch,Bike Key,24 Hours,Bike Key - Tisch - to 24 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
Tisch,Helmet,24 Hours,Helmet - Tisch - to 24 Hours and Item Material Type Equipment,{"total_record_count":0}-set already deleted
Tisch,Calculator,4 days,Calculator - Tisch - to 4 days and Item Material Type Equipment,200
Tisch,Calculator,4 days,Calculator - Tisch - to 4 days and Item Material Type Equipment,204
Tisch,External Drive,4 days,External Drive - Tisch - to 4 days and Item Material Type Equipment,200
Tisch,External Drive,4 days,External Drive - Tisch - to 4 days and Item Material Type Equipment,204
Tisch,Headphones,24 Hours,Headphones - Tisch - to 24 Hours and Item Material Type Equipment,200
Tisch,Headphones,24 Hours,Headphones - Tisch - to 24 Hours and Item Material Type Equipment,204
Tisch,Mac Av Adaptor,24 Hours,Mac Av Adaptor - Tisch - to 24 Hours and Item Material Type Equipment,200
Tisch,Mac Av Adaptor,24 Hours,Mac Av Adaptor - Tisch - to 24 Hours and Item Material Type Equipment,204
Tisch,Mac Laptop,4 days,Mac Laptop - Tisch - to 4 days and Item Material Type Laptop,200
Tisch,Mac Laptop,4 days,Mac Laptop - Tisch - to 4 days and Item Material Type Laptop,204
Tisch,Mouse,4 days,Mouse - Tisch - to 4 days and Item Material Type Equipment,200
Tisch,Mouse,4 days,Mouse - Tisch - to 4 days and Item Material Type Equipment,204
Vet,Laptop,7 days,Laptop - Vet - to 7 days and Item Material Type Equipment,200
Vet,Laptop,7 days,Laptop - Vet - to 7 days and Item Material Type Equipment,204
